date,symbol,close,change_percent,open,high,low,volume,source,timestamp
2025-11-26,ACLBSL,1011.1,0.09,1028.0,1010.0,1020.0,987.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,ADBL,320.0,0.95,321.0,316.3,319.0,48790.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,AHL,609.0,-0.93,626.0,600.5,626.0,5587.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,AHPC,285.0,0.32,287.9,280.5,280.5,91457.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,AKJCL,193.4,-0.36,195.0,191.0,195.0,37685.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,AKPL,248.0,-0.76,252.0,246.3,249.0,61764.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,ALBSL,1099.9,1.01,1106.7,1067.2,1067.2,30856.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,ALICL,493.8,0.0,495.7,480.0,495.0,119828.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,ANLB,6414.0,1.89,6495.0,6100.0,6169.1,1610.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,API,286.6,0.03,292.0,284.2,292.0,76856.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,AVYAN,997.0,-0.3,1000.0,984.1,984.1,2116.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,BANDIPUR,792.0,7.23,812.0,750.1,753.3,346850.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,BARUN,348.2,2.38,353.0,333.3,333.3,459880.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,BBC,4900.1,-1.34,5000.0,4900.1,5000.0,324.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,BEDC,565.0,-2.74,590.5,565.0,590.5,23873.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,BFC,477.0,-0.1,485.3,468.0,468.0,31924.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,BGWT,780.0,0.65,788.0,775.0,775.0,1186.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,BHCL,473.7,-1.31,480.0,468.2,479.0,41107.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,BHDC,497.0,-0.4,503.9,496.0,500.0,47711.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,BHL,182.0,0.0,185.6,180.1,185.6,120571.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,BHPL,666.1,0.17,677.0,665.0,677.0,2489.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,BNHC,442.0,-0.9,454.9,440.0,446.0,5681.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,BNT,12230.1,-0.57,12450.0,12222.2,12450.0,200.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,BPCL,745.0,0.95,760.0,734.0,738.0,94283.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,BUNGAL,588.1,3.37,591.0,554.0,560.0,51448.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,CBBL,1029.9,-0.2,1037.0,1020.0,1032.0,25955.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,CFCL,487.9,0.58,492.0,480.0,492.0,6881.0,merolagani_daily,2025-11-26 00:39:42
