date,symbol,open,high,low,close,volume,change_percent,source,timestamp,RSI,MA50,MACD,MACD_Signal,Prev_Volume,RSI_OK,MA_OK,MACD_OK,VOLUME_OK,Recommendation,Buy_Signal,check_rsi,check_ma,check_macd,check_volume
2025-11-27,NMB,255.0,250.4,255.0,250.4,210.0,-0.56,merolagani_daily,2025-11-27 11:13:44,70.72329273708922,239.33000000000004,2.3527698128367547,0.522416111264856,52101.0,True,True,True,False,BUY,True,True,True,True,True
2025-11-27,OHL,752.0,709.0,709.0,727.0,6964.0,0.55,merolagani_daily,2025-11-27 11:13:44,66.59881219884295,692.508,2.606888212530748,-0.3724254705633445,13267.0,True,True,True,False,BUY,True,True,True,True,True
2025-11-27,PCBL,257.0,252.0,255.0,252.0,19200.0,-0.71,merolagani_daily,2025-11-27 11:13:44,62.71834884217012,242.15400000000002,2.8590358245655807,2.4367744515017282,36962.0,True,True,True,False,BUY,True,True,True,True,True
2025-11-27,PMHPL,363.1,350.0,363.1,350.0,1280.0,-1.69,merolagani_daily,2025-11-27 11:13:44,61.82736843974171,324.898,5.540124835519407,2.7459078911936814,99861.0,True,True,True,False,BUY,True,True,True,True,True
2025-11-27,PMLI,529.3,519.9,529.3,519.9,42.0,0.17,merolagani_daily,2025-11-27 11:13:44,69.06881418153934,478.14599999999996,8.636613551734456,4.946418685978137,28345.0,True,True,True,False,BUY,True,True,True,True,True
2025-11-27,PPCL,346.0,340.0,346.0,340.0,7220.0,-0.87,merolagani_daily,2025-11-27 11:13:44,66.01654904318261,314.36,6.860647990302482,5.937814453389857,34554.0,True,True,True,False,BUY,True,True,True,True,True
2025-11-27,PURE,860.0,842.0,842.0,848.2,160.0,-0.81,merolagani_daily,2025-11-27 11:13:44,65.1978178241834,791.186,17.051393312006667,13.618432198985232,12570.0,True,True,True,False,BUY,True,True,True,True,True
2025-11-27,RFPL,402.9,392.0,392.0,400.0,17058.0,1.94,merolagani_daily,2025-11-27 11:13:44,76.82298747275907,340.958,9.491434558742128,6.0931650583318415,182358.0,True,True,True,False,BUY,True,True,True,True,True
2025-11-27,RHGCL,278.0,278.0,278.0,278.0,100.0,0.72,merolagani_daily,2025-11-27 11:13:44,69.14258537766517,246.62800000000004,7.81584317472641,5.728333079586211,91932.0,True,True,True,False,BUY,True,True,True,True,True
2025-11-27,RNLI,498.0,489.3,489.3,494.0,5512.0,-0.68,merolagani_daily,2025-11-27 11:13:44,65.40117275141134,463.00200000000007,7.570112171746757,5.356756107167884,211667.0,True,True,True,False,BUY,True,True,True,True,True
2025-11-27,RSDC,660.0,660.0,660.0,660.0,810.0,0.0,merolagani_daily,2025-11-27 11:13:44,68.7404129319709,619.7420000000001,8.043178401062846,2.1225355336280147,54476.0,True,True,True,False,BUY,True,True,True,True,True
2025-11-27,SAGAR,1333.2,1236.2,1236.2,1333.2,760.0,10.0,merolagani_daily,2025-11-27 11:13:44,98.4183015020291,303.90840000000003,262.3203688772692,203.81634866799953,1810.0,True,True,True,False,BUY,True,True,True,True,True
2025-11-27,SALICO,619.0,619.0,619.0,619.0,10.0,1.81,merolagani_daily,2025-11-27 11:13:44,70.524886922483,592.388,3.1753468456284963,-0.6891696631159275,8859.0,True,True,True,False,BUY,True,True,True,True,True
2025-11-27,SANVI,663.0,644.1,656.0,652.0,951.0,-0.76,merolagani_daily,2025-11-27 11:13:44,70.23521091758393,592.654,17.59960016942216,12.188588426807215,36267.0,True,True,True,False,BUY,True,True,True,True,True
2025-11-27,SCB,660.0,656.0,657.0,656.1,1615.0,0.17,merolagani_daily,2025-11-27 11:13:44,77.44589587860492,632.9259999999999,4.522195823527909,2.7692246682175696,55079.0,True,True,True,False,BUY,True,True,True,True,True
2025-11-27,SGHC,439.9,429.0,439.9,429.0,1335.0,-0.9,merolagani_daily,2025-11-27 11:13:44,76.87240979881463,343.64799999999997,27.00967169493623,23.440362537530692,72857.0,True,True,True,False,BUY,True,True,True,True,True
2025-11-27,SGIC,491.0,482.0,491.0,482.0,210.0,0.02,merolagani_daily,2025-11-27 11:13:44,60.8902273723904,464.598,2.6829746244852117,-0.9099598265628578,24320.0,True,True,True,False,BUY,True,True,True,True,True
2025-11-27,SHINE,421.0,416.3,416.3,421.0,565.0,1.2,merolagani_daily,2025-11-27 11:13:44,69.469988684247,404.214,2.872928023919144,1.0458199168883704,41131.0,True,True,True,False,BUY,True,True,True,True,True
2025-11-27,SHPC,536.0,518.5,518.5,529.0,1733.0,0.0,merolagani_daily,2025-11-27 11:13:44,69.9163802150041,501.89799999999997,5.112638661449978,1.4557740542647872,133659.0,True,True,True,False,BUY,True,True,True,True,True
